ID,Invoice_ID,PaymentDate,Amount,PaymentMethod,TransactionID,Status,createdAt,createdBy,modifiedAt,modifiedBy
aa0e8400-e29b-41d4-a716-446655440006,990e8400-e29b-41d4-a716-446655440006,2026-05-20,79900.00,UPI,TXN-UPI-10006,PAID,2026-05-20T15:00:00Z,admin,2026-05-20T15:00:00Z,admin
aa0e8400-e29b-41d4-a716-446655440007,990e8400-e29b-41d4-a716-446655440007,2026-05-21,114900.00,CREDIT_CARD,TXN-CC-10007,PAID,2026-05-21T15:10:00Z,admin,2026-05-21T15:10:00Z,admin
aa0e8400-e29b-41d4-a716-446655440008,990e8400-e29b-41d4-a716-446655440008,2026-05-22,41900.00,NET_BANKING,TXN-NB-10008,PAID,2026-05-22T15:20:00Z,admin,2026-05-22T15:20:00Z,admin
aa0e8400-e29b-41d4-a716-446655440009,990e8400-e29b-41d4-a716-446655440009,2026-05-22,29990.00,DEBIT_CARD,TXN-DC-10009,REFUNDED,2026-05-22T15:30:00Z,admin,2026-05-22T15:30:00Z,admin
aa0e8400-e29b-41d4-a716-446655440010,990e8400-e29b-41d4-a716-446655440010,2026-05-23,5000.00,WALLET,TXN-WALLET-10010,PARTIAL,2026-05-23T15:40:00Z,admin,2026-05-23T15:40:00Z,admin
aa0e8400-e29b-41d4-a716-446655440011,990e8400-e29b-41d4-a716-446655440011,2026-05-23,18999.00,UPI,TXN-UPI-10011,PENDING,2026-05-23T15:50:00Z,admin,2026-05-23T15:50:00Z,admin
aa0e8400-e29b-41d4-a716-446655440012,990e8400-e29b-41d4-a716-446655440012,2026-05-23,42999.00,CREDIT_CARD,TXN-CC-10012,PAID,2026-05-23T16:00:00Z,admin,2026-05-23T16:00:00Z,admin
aa0e8400-e29b-41d4-a716-446655440013,990e8400-e29b-41d4-a716-446655440013,2026-05-24,10000.00,NET_BANKING,TXN-NB-10013,FAILED,2026-05-24T16:10:00Z,admin,2026-05-24T16:10:00Z,admin
aa0e8400-e29b-41d4-a716-446655440014,990e8400-e29b-41d4-a716-446655440014,2026-05-24,58990.00,UPI,TXN-UPI-10014,PAID,2026-05-24T16:20:00Z,admin,2026-05-24T16:20:00Z,admin
aa0e8400-e29b-41d4-a716-446655440015,990e8400-e29b-41d4-a716-446655440015,2026-05-24,11999.00,DEBIT_CARD,TXN-DC-10015,PAID,2026-05-24T16:30:00Z,admin,2026-05-24T16:30:00Z,admin
aa0e8400-e29b-41d4-a716-446655440016,990e8400-e29b-41d4-a716-446655440016,2026-05-25,50000.00,CREDIT_CARD,TXN-CC-10016,PARTIAL,2026-05-25T16:40:00Z,admin,2026-05-25T16:40:00Z,admin
aa0e8400-e29b-41d4-a716-446655440017,990e8400-e29b-41d4-a716-446655440017,2026-05-22,1499.00,WALLET,TXN-WALLET-10017,PAID,2026-05-22T16:50:00Z,admin,2026-05-22T16:50:00Z,admin
aa0e8400-e29b-41d4-a716-446655440018,990e8400-e29b-41d4-a716-446655440018,2026-05-25,74999.00,NET_BANKING,TXN-NB-10018,REFUNDED,2026-05-25T17:00:00Z,admin,2026-05-25T17:00:00Z,admin
aa0e8400-e29b-41d4-a716-446655440019,990e8400-e29b-41d4-a716-446655440019,2026-05-25,17999.00,UPI,TXN-UPI-10019,PENDING,2026-05-25T17:10:00Z,admin,2026-05-25T17:10:00Z,admin
aa0e8400-e29b-41d4-a716-446655440020,990e8400-e29b-41d4-a716-446655440020,2026-05-26,62999.00,DEBIT_CARD,TXN-DC-10020,FAILED,2026-05-26T17:20:00Z,admin,2026-05-26T17:20:00Z,admin
