ID,Order_ID,Product_ID,Quantity,UnitPrice,Discount,LineTotal,createdAt,createdBy,modifiedAt,modifiedBy
770e8400-e29b-41d4-a716-446655440010,880e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440006,1,79900.00,0.00,79900.00,2026-05-20T09:05:00Z,admin,2026-05-20T09:05:00Z,admin
770e8400-e29b-41d4-a716-446655440011,880e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440007,1,114900.00,0.00,114900.00,2026-05-20T09:35:00Z,admin,2026-05-20T09:35:00Z,admin
770e8400-e29b-41d4-a716-446655440012,880e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440008,1,41900.00,0.00,41900.00,2026-05-20T10:05:00Z,admin,2026-05-20T10:05:00Z,admin
770e8400-e29b-41d4-a716-446655440013,880e8400-e29b-41d4-a716-446655440013,660e8400-e29b-41d4-a716-446655440009,1,29990.00,0.00,29990.00,2026-05-20T10:35:00Z,admin,2026-05-20T10:35:00Z,admin
770e8400-e29b-41d4-a716-446655440014,880e8400-e29b-41d4-a716-446655440014,660e8400-e29b-41d4-a716-446655440010,1,10995.00,0.00,10995.00,2026-05-21T08:05:00Z,admin,2026-05-21T08:05:00Z,admin
770e8400-e29b-41d4-a716-446655440015,880e8400-e29b-41d4-a716-446655440015,660e8400-e29b-41d4-a716-446655440011,1,18999.00,0.00,18999.00,2026-05-21T08:35:00Z,admin,2026-05-21T08:35:00Z,admin
770e8400-e29b-41d4-a716-446655440016,880e8400-e29b-41d4-a716-446655440016,660e8400-e29b-41d4-a716-446655440012,1,42999.00,0.00,42999.00,2026-05-21T09:05:00Z,admin,2026-05-21T09:05:00Z,admin
770e8400-e29b-41d4-a716-446655440017,880e8400-e29b-41d4-a716-446655440017,660e8400-e29b-41d4-a716-446655440013,1,37999.00,0.00,37999.00,2026-05-21T09:35:00Z,admin,2026-05-21T09:35:00Z,admin
770e8400-e29b-41d4-a716-446655440018,880e8400-e29b-41d4-a716-446655440018,660e8400-e29b-41d4-a716-446655440014,1,58990.00,0.00,58990.00,2026-05-22T10:05:00Z,admin,2026-05-22T10:05:00Z,admin
770e8400-e29b-41d4-a716-446655440019,880e8400-e29b-41d4-a716-446655440019,660e8400-e29b-41d4-a716-446655440015,1,11999.00,0.00,11999.00,2026-05-22T10:35:00Z,admin,2026-05-22T10:35:00Z,admin
770e8400-e29b-41d4-a716-446655440020,880e8400-e29b-41d4-a716-446655440020,660e8400-e29b-41d4-a716-446655440016,1,145000.00,0.00,145000.00,2026-05-22T11:05:00Z,admin,2026-05-22T11:05:00Z,admin
770e8400-e29b-41d4-a716-446655440021,880e8400-e29b-41d4-a716-446655440021,660e8400-e29b-41d4-a716-446655440017,1,1499.00,0.00,1499.00,2026-05-22T11:35:00Z,admin,2026-05-22T11:35:00Z,admin
770e8400-e29b-41d4-a716-446655440022,880e8400-e29b-41d4-a716-446655440022,660e8400-e29b-41d4-a716-446655440018,1,74999.00,0.00,74999.00,2026-05-22T12:05:00Z,admin,2026-05-22T12:05:00Z,admin
770e8400-e29b-41d4-a716-446655440023,880e8400-e29b-41d4-a716-446655440023,660e8400-e29b-41d4-a716-446655440019,1,17999.00,0.00,17999.00,2026-05-22T12:35:00Z,admin,2026-05-22T12:35:00Z,admin
770e8400-e29b-41d4-a716-446655440024,880e8400-e29b-41d4-a716-446655440024,660e8400-e29b-41d4-a716-446655440020,1,62999.00,0.00,62999.00,2026-05-22T13:05:00Z,admin,2026-05-22T13:05:00Z,admin
